question,slots,intent_list
항공사 고객센터,"{""airline_info"": [""항공사 고객센터"", ""항공사"", ""항공""]}","[""airline_info_query""]"
항공사 전화번호,"{""airline_info"": [""항공사 전화번호"", ""항공사"", ""항공""]}","[""airline_info_query""]"
항공사 연락처,"{""airline_info"": [""항공사 연락처"", ""항공사"", ""항공""]}","[""airline_info_query""]"
항공사 로고,"{""airline_info"": [""로고"", ""항공사"", ""항공""]}","[""airline_info_query""]"
항공사 이미지,"{""airline_info"": [""이미지"", ""항공사"", ""항공""]}","[""airline_info_query""]"
항공사 코드,"{""airline_info"": [""항공사 코드"", ""항공사"", ""항공""]}","[""airline_info_query""]"
항공사 취항,"{""airline_info"": [""항공사 취항"", ""취항"", ""항공사"", ""항공""]}","[""airline_info_query""]"
취항,"{""airline_info"": [""취항""]}","[""airline_info_query""]"
항공사,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
항공사 목록,"{""airline_info"": [""항공사"", ""항공사 목록"", ""항공""]}","[""airline_info_query""]"
화물 운송,"{""airline_info"": [""화물 운송""]}","[""airline_info_query""]"
공항 날씨,"{""weather_topic"": [""전체""]}","[""airport_weather_current""]"
공항 기온,"{""weather_topic"": [""기온""]}","[""airport_weather_current""]"
공항 습도,"{""weather_topic"": [""습도""]}","[""airport_weather_current""]"
공항 풍속,"{""weather_topic"": [""풍속""]}","[""airport_weather_current""]"
공항 시정,"{""weather_topic"": [""시정""]}","[""airport_weather_current""]"
공항 강수량,"{""weather_topic"": [""강수량""]}","[""airport_weather_current""]"
기상 예보,"{""weather_topic"": [""전체""]}","[""airport_weather_current""]"
날씨,"{""weather_topic"": [""전체""]}","[""airport_weather_current""]"
기상,{},"[""airport_weather_current""]"
바람,"{""weather_topic"": [""바람""]}","[""airport_weather_current""]"
비,"{""weather_topic"": [""비""]}","[""airport_weather_current""]"
날씨 예보,"{""weather_topic"": [""전체""]}","[""airport_weather_current""]"
입국장 혼잡 예측,"{""area"": ""arrival"", ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""입국장""], ""congestion_keywords"": [""혼잡""]}","[""airport_congestion_prediction""]"
입국장,"{""area"": ""arrival"", ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
입국장 예측,"{""area"": ""arrival"", ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
입국장 혼잡도,"{""area"": ""arrival"", ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""입국장""], ""congestion_keywords"": [""혼잡도"", ""혼잡""]}","[""airport_congestion_prediction""]"
입국장 미래,"{""area"": ""arrival"", ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
입국장 승객,"{""area"": ""arrival"", ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
예상 소요시간,"{""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""소요시간""]}","[""airport_congestion_prediction""]"
입국 절차,{},"[""immigration_policy""]"
입국 심사,{},"[""immigration_policy""]"
세관 신고,{},"[""immigration_policy""]"
반입 금지,{},"[""immigration_policy""]"
면세 한도,{},"[""immigration_policy""]"
비자 발급,{},"[""immigration_policy""]"
수하물 수취,"{""luggage_term"": [""수하물""]}","[""baggage_claim_info""]"
수하물 찾는 곳,"{""luggage_term"": [""수하물""]}","[""baggage_claim_info""]"
컨베이어 벨트,{},"[""baggage_claim_info""]"
수하물 분실,"{""baggage_issue"": ""분실"", ""luggage_term"": [""수하물""]}","[""baggage_claim_info""]"
수하물 파손,"{""baggage_issue"": ""파손"", ""luggage_term"": [""수하물""]}","[""baggage_claim_info""]"
수취대,{},"[""baggage_claim_info""]"
수취대 위치,{},"[""baggage_claim_info""]"
수취대 도착,"{""area"": ""arrival""}","[""baggage_claim_info""]"
특수 수하물,"{""baggage_type"": ""special"", ""luggage_term"": [""수하물""]}","[""baggage_claim_info""]"
수하물 규정,"{""luggage_term"": [""수하물""]}","[""baggage_rule_query""]"
위탁 수하물,"{""luggage_term"": [""수하물""], ""baggage_type"": ""위탁""}","[""baggage_rule_query""]"
기내 반입,"{""baggage_type"": ""기내""}","[""baggage_rule_query""]"
초과 수하물,"{""luggage_term"": [""수하물""]}","[""baggage_rule_query""]"
수하물 요금,"{""luggage_term"": [""수하물""], ""rule_type"": ""요금""}","[""baggage_rule_query""]"
수하물,"{""luggage_term"": [""수하물""]}","[""baggage_rule_query""]"
