intent,question
arrival_congestion_query,인천공항 입국장 요즘도 붐비나요
arrival_congestion_query,입국장 들어가는 게이트 막혔어요
arrival_congestion_query,인천공항 입국 게이트 어느 쪽이 복잡한가요
arrival_congestion_query,입국장 들어가는 데 줄 길게 서야 하나요
arrival_congestion_query,입국장 통로 복잡한지 확인할 수 있나요
arrival_congestion_query,입국장 근처에 사람 너무 많나요
arrival_congestion_query,공항 입국 라인 복잡해요
arrival_congestion_query,입국장 안쪽 꽉 찼나요
arrival_congestion_query,입국장 입구 쪽 혼잡한가요
arrival_congestion_query,인천공항 입국장 줄 안 긴 시간대는 언제인가요
arrival_congestion_query,지금 입국장 줄 많이 빠졌을까요
arrival_congestion_query,지금 공항 도착층 한산한가요
arrival_congestion_query,입국장 줄 서서 기다려야 하나요
arrival_congestion_query,입국장 주변 공간 여유 있나요
arrival_congestion_query,공항 도착 게이트 사람 많을까요
arrival_congestion_query,입국 게이트별로 어디가 제일 붐벼요
arrival_congestion_query,현재 입국장 대기 줄 몇 명쯤 되죠
arrival_congestion_query,입국장 줄이 좀 줄어들었을까요
arrival_congestion_query,지금 입국장 출입 제한 있나요
arrival_congestion_query,입국장 통행 제한 걸렸나요
arrival_congestion_query,입국장 대기줄 예상 시간 알려줘요
arrival_congestion_query,지금 입국 게이트별 통행량은 어떤가요
arrival_congestion_query,공항 입국장 공간 여유 있나요
arrival_congestion_query,입국장 안까지 들어가도 되나요
arrival_congestion_query,입국장 혼잡 상태 요약해줘
arrival_congestion_query,입국장 혼잡도가 높은 구역은 어디예요
arrival_congestion_query,입국 게이트 중 어디가 가장 바쁜가요
arrival_congestion_query,지금 입국장 게이트 A 쪽 붐비고 있나요
arrival_congestion_query,인천공항 T2 입국장 상황 알려줘요
arrival_congestion_query,도착 게이트 바로 앞에 사람 많나요
arrival_congestion_query,지금 입국장 내부 꽉 찼나요
arrival_congestion_query,입국장 입구 통행 좀 막히나요
arrival_congestion_query,입국장 근처에서 대기 중인 사람 많나요
arrival_congestion_query,공항 입국 라인 사람들이 바글대요
arrival_congestion_query,지금 입국장 줄 많이 밀려 있나요
arrival_congestion_query,인천공항 입국 게이트 높은 혼잡도인가요
arrival_congestion_query,입국장 각 게이트별 상태 볼 수 있어요
arrival_congestion_query,지금 입국장 상황 한눈에 알려줘요
arrival_congestion_query,인천공항 입국장 사람 얼마나 모였나요
arrival_congestion_query,지금 입국장 정체 심한가요
arrival_congestion_query,입국장 상황 지금 예전보다 어때요
arrival_congestion_query,실시간으로 입국장 복잡도 알 수 있나요
arrival_congestion_query,입국장 사람들이 줄서서 기다리나요
arrival_congestion_query,공항 입국층에 줄 많이 서있죠
arrival_congestion_query,입국장 라인에 줄이 얼마나 긴가요
arrival_congestion_query,지금 입국장 혼잡도 수준이 어떻게 돼요
arrival_congestion_query,인천공항 입국장 게이트 2쪽 사람 많나요
arrival_congestion_query,입국장 안쪽 대기 인원 알려줄래요
arrival_congestion_query,입국 게이트별 얼마나 붐비는지 볼 수 있나요
arrival_congestion_query,인천공항 입국장 실시간으로 확인하고 싶어요
arrival_congestion_query,지금 입국장 상황 불편할까요
arrival_congestion_query,입국장 안쪽 줄 얼마나 길죠
arrival_congestion_query,공항 도착층 입국장 통로 얼마나 막혀 있어요
arrival_congestion_query,지인 도착하는데 입국장 미리 확인할 수 있어요
arrival_congestion_query,입국장 사람이 너무 많아 보여요 입국 게이트마다 혼잡도 다르나요
arrival_congestion_query,인천공항 입국장 상황 실시간으로 알려주세요
arrival_congestion_query,입국장 게이트 앞 공간 있을까요
arrival_congestion_query,입국장 출구 가까운 쪽 혼잡하나요
arrival_congestion_query,인천공항 입국장 지금 여유 있나요
arrival_congestion_query,입국장 내부 밀도 알려줘요
arrival_congestion_query,인천공항 입국층 넓은 공간 있나요
arrival_congestion_query,입국장 실시간 사람 수 표시되나요
arrival_congestion_query,지금 입국장 줄장난 아니에요
arrival_congestion_query,공항 입국장 입구 복잡해요
arrival_congestion_query,입국장 지금 북새통인가요
arrival_congestion_query,입국장 입구쪽 혼잡 정도 알려줘요
arrival_congestion_query,입국 게이트 근처에서 대기해야 하나요
arrival_congestion_query,입국장 사람 수 지금 몇 백 명쯤 되나요
arrival_congestion_query,인천공항 입국장 실황 알 수 있을까요
arrival_congestion_query,입국구 앞에 사람들이 많이 서 있나요
arrival_congestion_query,지금 입국장 정체 구간 있나요
arrival_congestion_query,입국장 줄 길이 얼마나 돼요
arrival_congestion_query,인천공항 입국장 상태 알려줄 수 있어요
arrival_congestion_query,입국장 라인 앞쪽 대기 인원 알려주세요
arrival_congestion_query,입국장 내부 정체 상황 확인하고 싶어요
arrival_congestion_query,지금 입국장 밀집도 심한가요
arrival_congestion_query,입국장 통로 정체가 있나요
arrival_congestion_query,인천공항 입국장 실시간 혼잡도 확인 어디서 하죠
arrival_congestion_query,입국장 도착 라인 상태 지금 확인 가능해요
arrival_congestion_query,지금 입국장 줄 서는 구역 얼마나 혼잡한가요
arrival_congestion_query,입국장 현재 사람 수 실시간으로 알려줘요
arrival_congestion_query,지금 입국장 줄 길면 피해야 할까요
arrival_congestion_query,입국장 혼잡 심한 구역은 어디인가요
arrival_congestion_query,입국장 게이트 A랑 B 중 어디가 덜 붐비나요
arrival_congestion_query,지금 입국장에서 사람들 많이 움직이나요
arrival_congestion_query,입국장 상태 지금 안정적인가요
arrival_congestion_query,입국 게이트마다 실시간 혼잡도 알려줄 수 있나요
arrival_congestion_query,입국장 줄이 많이 줄었는지 알려줘요
arrival_congestion_query,입국장 근처 대기공간 여유있나요
arrival_congestion_query,공항 입국장 혼잡 예측 상태 알려줘요
arrival_congestion_query,지금 입국장 사람 비집고 들어가기 어려워요
arrival_congestion_query,입국장 혼잡도 실시간 수치 볼 수 있나요
arrival_congestion_query,입국장 과도하게 붐비는 구간이 있나요
arrival_congestion_query,입국장 라인에 대기인원 얼마나 있나요
arrival_congestion_query,지금 입국장 내부 공간 좁은가요
arrival_congestion_query,공항 도착 게이트 상태 지금 어떤가요
arrival_congestion_query,입국장 실시간 데이터로 보기 가능해요
arrival_congestion_query,입국장 들어가는 길에 줄 서 있나요
arrival_congestion_query,지금 입국장 게이트별 밀집도 어때요
arrival_congestion_query,인천공항 입국장 사람이 많아서 걱정돼요 입국장 밀집도 실제로 어느 정도인가요
arrival_congestion_query,지금 입국장 대기 줄 상황 요약해줘요
arrival_congestion_query,실시간 입국장 상황 보여주는 곳 있나요
arrival_congestion_query,입국장 입구 앞 사람들이 많이 서 있나요
arrival_congestion_query,입국장 실시간 현황 어디서 확인하나요
arrival_congestion_query,입국장 현재 붐비는 정도가 심한가요
arrival_congestion_query,입국장 내부 흐름 원활한 편인가요
