intent_list,recommend_question
"[""airline_info_query""]",대한항공 고객센터 전화번호는 뭔가요?
"[""airline_info_query""]",대한항공 코드 알려줘
"[""airline_info_query""]",아시아나항공에 전화하려면 어디로 걸어야 하나요?
"[""airport_congestion_prediction""]",오후 3시 제1터미널 입국장 혼잡도 어떤가요?
"[""airport_congestion_prediction""]",제2터미널 출국장이 언제 가장 한가한가요?
"[""airport_congestion_prediction""]",내일 A게이트 입국장 사람 많을까요?
"[""airport_congestion_prediction""]",지금 제1터미널 B게이트 혼잡한가요?
"[""airport_congestion_prediction""]",1시간 뒤 제2터미널 출국 2번 게이트 어때요?
"[""airport_congestion_prediction""]",오늘 저녁 출국장 3번 게이트 사람 많을까요?
"[""airport_congestion_prediction""]",내일 출국하는 사람들이 얼마나 되나요?
"[""airport_congestion_prediction""]","이따가 비행기 탈 때, 사람들 얼마나 있을까요?"
"[""airport_congestion_prediction""]",사람 몰리는 시간을 피하려면 내일 몇시쯤 도착하는게 좋을까요?
"[""airport_congestion_prediction""]","4시에 비행기 타는데, 줄이 길까요?"
"[""airport_info""]",나리타 공항 코드가 뭔가요?
"[""airport_info""]",샌프란시스코 공항은 어느 나라에 있나요?
"[""airport_info""]",프랑스에는 어떤 공항이 있나요?
"[""airport_info""]",히드로 공항 코드 알려주세요
"[""airport_info""]",LAX는 어느 도시 공항인가요?
"[""airport_weather_current""]",지금 인천공항 비 오나요?
"[""airport_weather_current""]",공항 날씨 어떤가요?
"[""airport_weather_current""]",내일 공항 날씨 알려주세요
"[""airport_weather_current""]",지금 공항 바람 많이 부나요?
"[""airport_weather_current""]",아까 공항에 비 왔었나요?
"[""baggage_rule_query""]",기내 액체류 반입 규정이 어떻게 되나요?
"[""baggage_rule_query""]",수하물 규정에 대해 알려주세요
"[""baggage_rule_query""]",기내에 동물을 데리고 탈 수 있나요?
"[""baggage_rule_query""]",기내 반입 가능한 가방 개수는 몇 개인가요?
"[""baggage_rule_query""]",기내 반입 금지 물품이 있나요?
"[""facility_guide""]",공항 내 카페는 어디에 있나요?
"[""facility_guide""]",공항에 약국은 어디인가요?
"[""facility_guide""]",출국장 화장실 위치를 알려주세요
"[""facility_guide""]",면세점이 어디에 있는지 궁금해요
"[""flight_info""]",인천에서 도쿄 가는 비행기 언제 이륙했나요?
"[""immigration_policy""]",해외에 장기 거주하다 돌아올 때도 비자가 필요한지 알고 싶어요
"[""immigration_policy""]",입국 심사는 내국인과 외국인이 따로 받나요?
"[""immigration_policy""]",면세 범위 안에 있어도 세관신고서를 작성해야 하나요?
"[""immigration_policy""]",휴대품 검사 어떻게 준비하나요?
"[""immigration_policy""]",입국 절차 알려주세요
"[""parking_availability_query""]",지금 주차장 상황은 어떤가요?
"[""parking_availability_query""]",1터미널 장기 주차장에 자리 있나요?
"[""parking_availability_query""]",단기 주차장 자리 있나요?
"[""parking_availability_query""]",주차장 이용 현황 보여주세요
"[""parking_fee_info""]",주차 비용이 궁금해요
"[""parking_fee_info""]",주차 요금 계산 어떻게 하나요?
"[""parking_fee_info""]",신용카드로 주차비 결제 가능한가요?
"[""parking_fee_info""]",주차 요금 할인 가능한가요?
"[""parking_fee_info""]",주차 요금 정산은 어디서 하면 되나요?
"[""parking_location_recommendation""]",A 체크인 카운터와 가까운 주차장을 추천해 주세요.
"[""parking_walk_time_info""]",터미널 1의 B 카운터와 가까운 주차장
"[""parking_walk_time_info""]",T2 터미널 단기주차장 지상1층 동편구역에서 D카운터까지 거리
"[""regular_schedule_query""]",매일 운항하는 뉴욕행 항공편이 있나요?
"[""regular_schedule_query""]",후쿠오카행 정기 항공편 알려줘
"[""regular_schedule_query""]",히드로 공항 가는 대한항공 정기편은 언제 있어요?
"[""transfer_info""]",환승 시 인천공항 밖 나갔다 다시 들어올 수 있나요?
"[""transfer_info""]",환승 승객도 면세점 이용 가능한가요?
"[""transfer_info""]",환승 시 필요한 서류가 있나요?
"[""transfer_info""]",환승때 서울 투어할 수 있나요
"[""transfer_route_guide""]",국제선에서 국내선으로 환승할 때 절차가 어떻게 돼나요?
"[""transfer_route_guide""]",게이트 간 환승 동선이 궁금해요
"[""transfer_route_guide""]",탑승동 셔틀트레인은 어디서 타요?
"[""transfer_route_guide""]",환승 루트에 휠체어 지원 서비스 있나요?
"[""transfer_route_guide""]",제2터미널에서 제1터미널로 갈아타려면 어떻게 이동하나요?
