question,slots,intent_list
FedEX 는 인천공항 몇 번 게이트 인가요,"{""airline_name"": ""FedEX""}","[""airline_info_query""]"
FedEX 항공 고객 센터 전화번호 가 뭔가 요,"{""airline_name"": ""FedEX항공"", ""airline_info"": [""항공""]}","[""airline_info_query""]"
FedEX 항공 로고 를 볼 수 있나요,"{""airline_name"": ""FedEX항공"", ""airline_info"": [""로고"", ""항공""]}","[""airline_info_query""]"
FedEX 항공 에 어떻게 연락 하면 되죠,"{""airline_name"": ""FedEX항공"", ""airline_info"": [""항공""]}","[""airline_info_query""]"
FedEX 항공 은 화물 운송 항공사 인가요,"{""airline_name"": ""FedEX항공"", ""airline_info"": [""항공사"", ""화물 운송"", ""항공""]}","[""airline_info_query""]"
FX 항공사 인천공항 번호 를 알려주세요,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
FX 항공사 는 어떤 이미지 인가요,"{""airline_info"": [""이미지"", ""항공사"", ""항공""]}","[""airline_info_query""]"
FX 항공사 의 IATA 코드 는 뭐 예요,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
FX 항공 은 승객 도 받나요,"{""airline_info"": [""항공""]}","[""airline_info_query""]"
GIA 항공사 이미지 가 있을까요,"{""airline_info"": [""이미지"", ""항공사"", ""항공""]}","[""airline_info_query""]"
KE 항공사,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
KL 항공사 문의 전화번호 를 알려주세요,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
KL 항공사 의 항공 편 조회 는 어디서 하나요,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
KLM 네덜란드 항공 고객 센터 번호,"{""airline_name"": ""KLM"", ""airport_name"": ""네덜란드"", ""airline_info"": [""항공""]}","[""airline_info_query""]"
KLM 항공 로고 링크 있나요,"{""airline_name"": ""KLM"", ""airline_info"": [""로고"", ""항공""]}","[""airline_info_query""]"
KLM 항공 인천공항 연락처 를 알 고 싶어요,"{""airline_name"": ""KLM"", ""airline_info"": [""항공""]}","[""airline_info_query""]"
KL 은 어떤 항공사 인가요,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
OZ 항공사,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
가루다 인도네시아 인천공항 카운터 전화번호 알려주세요,"{""airline_name"": ""가루다인도네시아""}","[""airline_info_query""]"
가루다 인도네시아 는 인천공항 에서 운영 하나요,"{""airline_name"": ""가루다인도네시아""}","[""airline_info_query""]"
