country_KR,city_EN,city_KR
스페인,ACoruna,라코루냐
덴마크,Aalborg,올보르
덴마크,Aarhus,오르후스
그린란드,Aasiaat,아시아트
이디오피아,Jimma,짐마
이디오피아,Dire Dawa,디레다와
이란,Abadan,아바단
키리바시,Abaiang,아바이앙
러시아,Abakan,아바칸
캐나다,Abbotsford,애벗스퍼드
알제리,Tiaret,티아렛
인도네시아,Malang,말랑
소말리아,Galkayo,갈카요
차드,Abeche,아베셰
탄자니아,Zanzibar,잔지바르
쿠바,Santa Clara,산타클라라
키리바시,Abemama Atoll,아베마마 환초
영국,Aberdeen,애버딘
미국,Aberdeen,애버딘
사우디아라비아,Abha,아바
미국,Abilene,애빌린
멕시코,Ciudad Juarez,시우다드후아레스
미국,Springfield,스프링필드
이탈리아,Pescara,페스카라
아랍에미레이트,Abu Dhabi,아부다비
이란,Abu Musa Island,아부무사섬
이집트,Abu Simbel,아부심벨
미국,Iberia,이베리아
콜롬비아,Acandi,아칸디
멕시코,Acapulco,아카풀코
가나,Accra,아크라
인도네시아,Semarang,스마랑
파나마,Achutupo,아추투포
소말리아,Adado,아다도
미국,Adak Island,아닥섬
인도,Adampur,아담푸르
터키,Adan,아단
이디오피아,Addis Ababa,아디스아바바
미국,Dallas,댈러스
오스트레일리아,Adelaide,애들레이드
오스트레일리아,Adelaide,애들레이드
소말리아,Mogadishu,모가디슈
예멘,Aden,아덴
미국,Saranac Lake,새러낵 레이크
인도네시아,Yogyakarta,족자카르타
인도네시아,Surakarta,수라카르타
터키,Adiyaman,아디야만
스페인,Madrid,마드리드
알제리,Adrar,아드라르
인도네시아,Padang Sidempuan,파당시뎀푸안
브라질,Curitiba,쿠리치바
솔로몬 제도,Afutara,아푸타라
모로코,Agadir,아가디르
인도,Agartala,아가르탈라
인도,Agatti Island,아가티섬
프랑스,Agen,아쟁
인도,Agra,아그라
터키,Agri,아르리
콜롬비아,Aguachica,아과치카
콜롬비아,Aguaclara,아과클라라
콜롬비아,Ocana,오카냐
일본,Aguni,아구니
프랑스령 폴리네시아,Ahe,아헤
이란,Ahvaz,아흐바즈
마샬 군도,Airok,아이로크
마샬 군도,Ailuk Atoll,아일룩 환초
알제리,Setif,세티프
알제리,Ouargla,와르글라
남아프리카,Hoedspruit,후에드스프루이트
쿡 군도,Aitutaki,아이투타키
프랑스,Ajaccio,아작시오
인도네시아,Samarinda,사마린다
인도,Kishangarh,키샨가르
나이지리아,Enugu,에누구
미국,Akhiok,아키오크
미국,Akiachak,아키아착
미국,Akiak,아키악
일본,Akita,아키타
캐나다,Aklavik,아클라빅
인도,Akola,아콜라
미국,Akron,애크런
중국,Aksu,아커쑤
카자흐스탄,Aktau,악타우
그리스,Preveza-Lefkada,프레베자
카자흐스탄,Aktobe,악토베
캐나다,Akulivik,아쿨리빅
나이지리아,Akure,아쿠레
아이슬란드,Akureyri,아퀴레이리
미국,Akutan,아쿠탄
리비아,Bayda,알바이다
사우디아라비아,Hofuf,호푸프
아랍에미레이트,Al Ain,알아인
이집트,El Alamein,엘알라메인
아랍에미레이트,Abu Dhabi,아부다비
이라크,Al-Qadisiyah,알카디시야
예멘,Al Ghaydah,알가이다
아랍에미레이트,AlHamra,알함라
사우디아라비아,Sakakah,사카카
아랍에미레이트,Dubai,두바이
이라크,Al Najaf,나자프
이라크,Al-Diwaniyah,디와니야
사우디아라비아,Qaisumah-Hafar al-Batin,카이수마-하파르 알바틴
사우디아라비아,Al Wajh,알와즈
미국,Alakanuk,알라카누크
미국,Alamogordo,알라모고도
중국,Alar,알라르
스페인,Albacete,알바세테
사우디아라비아,Al-Baha,알바하
앙골라,Huambo,우암보
오스트레일리아,Albany,올버니
미국,Albany,올버니
캐나다,Port Alberni,포트 올버니
미국,Jacksonville,잭슨빌
프랑스,Albert,알베르
브라질,Macapa,마카파
베네수엘라,Merida,메리다
파나마,Panama City,파나마 시티
미국,Albuquerque,앨버커키
오스트레일리아,Albury,올버리
볼리비아,Sucre,수크레
러시아,Aldan,알단
건지,Alderney,올더니
브라질,Alegrete,알레그레테
페루,Cusco,쿠스코
미국,Aleknagik,알레크나긱
시리아,Aleppo,알레포
노르웨이,alesund,올레순
뉴질랜드,Alexandra,알렉산드라
미국,Alexandria,알렉산드리아
그리스,Alexandroupoli,알렉산드루폴리
페루,Huanuco,우아누코
콜롬비아,Cali,칼리
콜롬비아,Valledupar,바예두파르
콜롬비아,Leticia,레티시아
이탈리아,Alghero,알게로
중국,Ali,아리
지부티,Ali-Sabieh,알리 사비에
스페인,Alicante,알리칸테
미국,Alice,앨리스
오스트레일리아,Alice Springs,앨리스스프링스
인도,Aligarh,알리가르
미국,Lazy Bay,레이지 베이
인도,Allahabad,알라하바드
미국,Allakaket,알라카케트
파키스탄,Lahore,라호르
미국,Pittsburgh,피츠버그
미국,Alliance,얼라이언스
캐나다,Alma,알마
카자흐스탄,Almaty,알마티
스페인,AlmerIa,알메리아
아르헨티나,Trelew,트렐레우
콜롬비아,Riohacha,리오아차
인도,Along,알롱
인도네시아,Alor Island,알로르섬
미국,Alpena,앨피나
미국,Alpine,앨파인
노르웨이,Alta,알타
브라질,Alta Floresta,알타 플로레스타
몽골,Altai,알타이
브라질,Altamira,알타미라
중국,Altay,알타이
아르헨티나,Alto RIo Senguer,알토리오셍게르
미국,Altoona,앨투나
이디오피아,Mekele,메켈레
중국,Alxa Left Banner,아라산 좌기
중국,Alxa Right Banner,아라산 우기
러시아,Norilsk,노릴스크
리비아,Zintan,진탄
멕시코,Tepic,테픽
일본,Amakusa,아마쿠사
일본,Amami,아마미
터키,Merzifon,메르지폰
인도,Ambala,암발라
마다가스카르,Antsohihy,안트소히히
마다가스카르,Ambatomainty,암바토마인티
마다가스카르,Ambatondrazaka,암바톤드라자카
인도,Ambikapur,암비카푸르
미국,Ambler,앰블러
마다가스카르,Mahajanga,마하장가
케냐,Amboseli,암보셀리
조지아,Ambrolauri,암브롤라우리
러시아,Amderma,암데르마
차드,Amdjarass,암자라스
러시아,Amgu,암구
카보베르데,Sal,살
요르단,Amman,암만
미국,Amook Bay,아묵 베이
스리랑카,Ampara,암파라
인도,Amravati,암라바티
네덜란드,Amsterdam,암스테르담
프랑스령 폴리네시아,Anaa,아나아
터키,EskiSehir,에스키셰히르
캐나다,Anahim Lake,아나힘 레이크
미국,Anaktuvuk Pass,아낙투부크 패스
나이지리아,Chinua Achebe,치누아 아체베
러시아,Anapa,아나파
바누아투,Anatom Island,아나톰섬
이탈리아,Ancona,안코나
페루,Andahuaylas,안다우아일라스
오스트레일리아,Andamooka,안다무카
마다가스카르,Andavadoaka,안다바도아카
인도네시아,Masamba,마삼바
나미비아,Ondangwa,온당과
우즈베키스탄,Andizhan,안디잔
노르웨이,Andenes,안데네스
브라질,Cotriguacu,코트리그아쿠
베네수엘라,Isla de Coche,이스라 데 코체
미국,Camp Springs,캠프 스프링스
바하마,Andros Town,안드로스 타운
모로코,Oujda,우지다
케냐,Angama Mara,앙가마 마라
멕시코,Tuxtla Gutierrez,툭스틀라 구티에레스
스웨덴,Angelholm,엥엘홀름
프랑스,Angers,앙제
영국,Anglesey,앵글시
캐나다,Wapekeka,와페케카
미국,Angoon,안군
프랑스,Angouleme,앙굴렘
브라질,Angra dos Reis,앙그라두스헤이스
미국,Aniak,애니악
바누아투,Aniwa Island,아니와섬
중국,Ankang,안캉
마다가스카르,Ankavandra,앙카반드라
미얀마,Ann,안
알제리,Annaba,안나바
프랑스,Annecy,안시
적도 기니,DePale,데팔레
중국,Anqing,안칭
중국,Anshan,안산
중국,Anshun,안순
페루,Huaraz,우아라스
터키,Antalya,안탈리아
아이티,Les Cayes,레 카예
괌,Guam,괌
브라질,Lages,라제스
베네수엘라,Cumana,쿠마나
쿠바,Santiago de Cuba,산티아고 데 쿠바
콜롬비아,Pasto,파스토
푸에르토리코,Vieques,비에케스
콜롬비아,Apartado,아파르타도
마다가스카르,Antalaha,안탈라하
마다가스카르,Antsirabe,안치라베
벨기에,Antwerp,안트베르펜
미국,Anvik,안비크
중국,Anyang,안양
중국,Anyang,안양
일본,Aomori,아오모리
이탈리아,Aosta,아오스타
프랑스령 폴리네시아,Apataki,아파타키
볼리비아,Apolo,아폴로
미국,Appleton,애플턴
캐나다,Quadra Island,쿼드라섬
브라질,Aracati,아라카티
브라질,Aracatuba,아라카투바
루마니아,Arad,아라드
브라질,AraguaIna,아라과이나
이란,Arak,아라크
미국,Rockport,록포트
키리바시,Aranuka Buariki,아라누카 부아리키
브라질,Arapongas,아라퐁가스
사우디아라비아,Arar,아라르
콜롬비아,Araracuara,아라라쿠아라
브라질,Araraquara,아라라쿠아라
브라질,Araripina,아라리피나
남아프리카,Arathusa,아라투사
프랑스령 폴리네시아,Aratika,아라티카
브라질,Araxa,아라샤
그리스,Patras,파트라스
이디오피아,Arba Minch,아르바민치
미국,Arcata-Eureka,아르카타-유레카
캐나다,Arctic Bay,아크틱 베이
미국,Arctic Village,아크틱 빌리지
이란,Ardabil,아르다빌
미국,Ardmore,아드모어
스웨덴,Ostersund,외스테르순드
노르웨이,Arendal,아렌달
오스트레일리아,Argyle,아르가일
세인트빈센트그레나딘,Saint Vincent,세인트빈센트
브라질,Aripuana,아리푸아나
브라질,Ariquemes,아리케메스
카보베르데,Boa Vista,보아 비스타
미국,Blytheville,블라이스빌
미국,Arlington,알링턴
니제르,Arlit,아를리트
오스트레일리아,Armidale,아미데일
미국,Latrobe,라트로브
파푸아뉴기니,Kieta,키에타
키리바시,Arorae Island,아로라에섬
오스트레일리아,Arrabury,아라버리
마다가스카르,Antsiranana,안치라나나
트리니다드토바고,Tobago,토바고
바하마,Arthur's Town,아서스 타운
칠레,Santiago,산티아고
베네수엘라,Valencia,발렌시아
우간다,Arua,아루아
탄자니아,Arusha,아루샤
프랑스령 폴리네시아,Arutua,아루투아
캐나다,Arviat,아르비아트
스웨덴,Arvidsjaur,아르비츠야우르
중국,Aershan,아얼산
나이지리아,Asaba,아사바
일본,Asahikawa,아사히카와
미국,Asheville,애슈빌
투르크메니스탄,Ashgabat,아시가바트
에리트레아,Asmara,아스마라
이디오피아,Asosa,아소사
미국,Aspen,애스펀
에리트레아,Assab,아사브
이집트,Assiut,아시우트
아르헨티나,Mar del Plata,마르델플라타
미국,Astoria,아스토리아
스페인,Oviedo,오비에도
그리스,Astypalaia,아스티팔라이아
이집트,Aswan,아스완
인도네시아,Atambua,아탐부아
예멘,Ataq,아타크
미국,Athens,아테네
그리스,Athens,아테네
미국,Atka,앗카
멕시코,Atlangatepec,아틀랑가테펙
미국,Atlantic,애틀랜틱
미국,Atmautluak,앗마우틀루악
미국,Atqasuk,앗카숙
라오스,Attapeu,앗따쁘
캐나다,Attawapiskat,아타와피스카트
인도네시아,Pagar Alam,파가르알람
프랑스령 폴리네시아,Atuona,아투오나
카자흐스탄,Atyrau,아티라우
미국,Auburn,오번
뉴질랜드,Auckland,오클랜드
독일,Augsburg,아우크스부르크
미국,Augusta,오거스타
미국,Augusta,오거스타
영국령 버진아일랜드,Anegada,애너가다
니카라과,Managua,마나과
솔로몬 제도,Auki,아우키
캐나다,Aupaluk,아우팔루크
마샬 군도,Aur Atoll,아우르 환초
인도,Aurangabad,아우랑가바드
루마니아,Bucharest,부쿠레슈티
프랑스,Aurillac,오리야크
오스트레일리아,Aurukun,오루쿤
미국,Austin,오스틴
미국,Green Bay,그린베이
오스트레일리아,Melbourne,멜버른
아르헨티나,San MartIn de los Andes,산마르틴 데 로스 안데스
프랑스,Avignon,아비뇽
필리핀,Cotabato,코타바토
이디오피아,Awasa,아와사
이디오피아,Axum,악숨
러시아,Ayan,아얀
터키,Aydin,아이든
오스트레일리아,Yulara,율라라
인도,Ayodhya,아요디아
인도,Azamgarh,아잠가르
인도네시아,Babo,바보
브라질,Curitiba,쿠리치바
루마니아,Bacau,바카우
파키스탄,Peshawar,페샤와르
멕시코,Culiacan,쿨리아칸
이디오피아,Jinka,진카
필리핀,Bacolod,바콜로드
스페인,Badajoz,바다호스
오스트레일리아,Badu Island,바두섬
카메룬,Bafoussam,바푸삼
인도,Bagdogra,바그도그라
이라크,Baghdad,바그다드
네팔,Baglung,바글룽
아프가니스탄,Bagram,바그람
파키스탄,Bahawalpur,바하왈푸르
파나마,Puerto Pina,푸에르토 피냐
멕시코,Huatulco,우아툴코
이디오피아,Bahir Dar,바히르다르
바레인,Manama,마나마
루마니아,Baia Mare,바이아 마레
중국,Baicheng,바이청
소말리아,Baidoa,바이도아
캐나다,BaieComeau,베이코모
러시아,Ulan-Ude,울란우데
중국,Baise,바이서
인도네시아,Bajawa,바자와
네팔,Bajura,바주라
말레이시아,Bakelalan,바켈라란
캐나다,Baker Lake,베이커 레이크
러시아,Balakovo,발라코보
솔로몬 제도,Balalae Island,발랄라에섬
터키,Balikesir,발리케시르
터키,Edremit,에드레미트
파푸아뉴기니,Balimo,발리모
니제르,Balkanabat,발카나바트
카자흐스탄,Balkhash,발하시
오스트레일리아,Ballarat,발라랫
오스트레일리아,Ballera gas plant,발레라 가스 플랜트
오스트레일리아,Ballina,발리나
칠레,Balmaceda,발마세다
몰도바,Balti,벌치
미국,Baltimore Washington,볼티모어 워싱턴
인도,Balurghat,발루르가트
이란,Bam,밤
말리,Bamako,바마코
카메룬,Bamenda,밤바
아프가니스탄,Bamyan,바미얀
라오스,Ban Huoeisay,반후에이사이
필리핀,Butuan,부투안
이란,Bandar Abbas,반다르아바스
이란,Bandar Lengeh,반다르렌게
스리랑카,Colombo,콜롬보
콩고 민주공화국,Kisangani,키상가니
미국,Bangor,뱅거
중앙아프리카공화국,Bangui,방기
보스니아 헤르체고비나,Banja Luka,바냐루카
감비아,Banjul,반줄
오스트레일리아,Bankstown,뱅크스타운
파키스탄,Bannu,반누
필리핀,Bantayan,반타얀
인도네시아,Banyuwangi,바뉴왕이
중국,Baoshan,바오산
중국,Baotou,바오터우
인도,Baramati,바라미티
